record_id,compound_smiles,egfr_variant,standard_type,standard_value,standard_units,pchembl_value,source_id,extraction_confidence,extraction_method
zenodo_HER4_1024,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,HER4,IC50,1122.018454301963,nM,5.95,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_1770,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1,HER4,IC50,0.6025595860743569,nM,9.22,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_2382,C=CC(=O)NCC(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)cn2)c1,HER4,IC50,3.3113112148259076,nM,8.48,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_258,C=CC(=O)NCc1coc(-c2c(N)ncnc2Nc2ccc(OCc3ccccn3)c(Cl)c2)n1,HER4,IC50,3.981071705534969,nM,8.4,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_2057,C=CC(=O)N[C@@H]1Cn2c(c(-c3ccc(Oc4ccccc4)cc3)c3c(N)ncnc32)C1=C,HER4,IC50,0.6025595860743569,nM,9.22,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_574,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,HER4,IC50,10.0,nM,8.0,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_2412,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,HER4,IC50,3.981071705534969,nM,8.4,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_1675,C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,HER4,IC50,12.02264434617413,nM,7.92,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_922,C=CC(=O)Nc1cccc(-c2ccc(C(N)=O)c3[nH]c(C)c(C)c23)c1C,HER4,IC50,239.88329190194898,nM,6.62,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_2485,C=CC(=O)Nc1cccc(-c2ccc(C(N)=O)c3[nH]c4c(c23)CCC(C(C)(C)O)C4)c1C,HER4,IC50,151.3561248436207,nM,6.82,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_2127,C=CC(=O)Nc1cccc(Nc2ncc(NC(=O)c3cc(NC(=O)c4cccc(C(F)(F)F)c4)ccc3C)cn2)c1,HER4,IC50,5.4954087385762485,nM,8.26,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_830,C=CS(=O)(=O)N1CCC[C@@H]1Cn1cc(-c2ccc3c(c2)OCO3)c2c(N)ncnc21,HER4,IC50,1000.0,nM,6.0,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_2326,C=CS(=O)(=O)Nc1cccc(-c2ccc(C(N)=O)c3[nH]c(C)c(C)c23)c1C,HER4,IC50,10.0,nM,8.0,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_1256,CC(C)(/C=C(\C#N)C(=O)N1CCC[C@H](n2nc(-c3ccc(Oc4ccccc4)cc3F)c3c(N)ncnc32)C1)N1CCN(C2COC2)CC1,HER4,IC50,11.220184543019629,nM,7.95,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_871,CC(C)(C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc(Cl)c4)c(Cl)c3)c21)S(C)(=O)=O,HER4,IC50,158.48931924611142,nM,6.8,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_1763,CC(C)(N)C(=O)NCCn1ccc2ncnc(Nc3ccc(Oc4cccc5sncc45)c(Cl)c3)c21,HER4,IC50,79.43282347242821,nM,7.1,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_2230,CC(C)C(=O)N1CCC[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)C1,HER4,IC50,229.08676527677747,nM,6.64,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_314,CC(C)C(=O)N1CCO[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)C1,HER4,IC50,512.8613839913648,nM,6.29,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_738,CC(C)c1nc(-c2ccc(F)c(NS(=O)(=O)c3c(F)cccc3F)c2)c(-c2ccnc(Nc3ccc(N4CCOCC4)nc3)n2)s1,HER4,IC50,10.0,nM,8.0,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_875,CCN(CC)CCCC(C)Nc1nc(/C=C/c2c(Cl)cc(Cl)cc2Cl)nc2ccc(N)cc12,HER4,IC50,23988.329190194898,nM,4.62,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_2277,CCN(CC)CCCC(C)Nc1nc(/C=C/c2cc(OC)c(OC)cc2Cl)nc2cc(Cl)ccc12,HER4,IC50,7762.471166286911,nM,5.11,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_571,CCN(CC)CCCNC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,HER4,IC50,7.943282347242821,nM,8.1,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_1025,CCc1cc(Nc2nccc(-c3c(-c4cccc(C(=O)Nc5c(F)cccc5F)c4)nc4ccccn34)n2)c(OC)cc1N1CCC(N2CCN(S(C)(=O)=O)CC2)CC1,HER4,IC50,141.25375446227554,nM,6.85,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_56,CN(C)c1cc2c(Nc3ccc4c(cnn4Cc4ccccc4)c3)ncnc2cn1,HER4,IC50,19.952623149688787,nM,7.7,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_445,CN1C(=O)[C@@H](N2CCc3c(nn(Cc4ccccc4)c3Br)C2=O)COc2ccccc21,HER4,IC50,1000.0,nM,6.0,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_1589,CN1C(=O)[C@@H](N2CCc3cn(CC4CCS(=O)(=O)CC4)nc3C2=O)COc2ccccc21,HER4,IC50,1000.0,nM,6.0,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_2534,CN1C(=O)[C@@H](N2CCc3cn(Cc4ccccc4)nc3C2=O)COc2ccccc21,HER4,IC50,1000.0,nM,6.0,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_552,CN1CCN(c2ccc(Nc3ncc4nc(Nc5ccccc5)n(C5CCCC5)c4n3)cc2)CC1,HER4,IC50,30.199517204020193,nM,7.52,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_2346,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,HER4,IC50,28.18382931264455,nM,7.55,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_2456,COCC(=O)N1CCC[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)C1,HER4,IC50,70.79457843841374,nM,7.15,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_2077,COCC(=O)N1CCO[C@@H](c2nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c3c(N)nccn23)C1,HER4,IC50,169.8243652461746,nM,6.77,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_2457,COc1cc(N2CCC(N3CCN(S(C)(=O)=O)CC3)CC2)ccc1Nc1nccc(-c2c(-c3cccc(C(=O)Nc4c(F)cccc4F)c3)nc3ccccn23)n1,HER4,IC50,74.13102413009177,nM,7.13,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_1156,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)/C(F)=C/CN(C)C,HER4,IC50,22.90867652767775,nM,7.64,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_1107,COc1cc2ncnc3c2cc1OCCCCCN(C)Cc1ccc(Br)cc1N3,HER4,IC50,10.964781961431852,nM,7.96,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_2496,C[C@@H]1COC(Nc2ccc3ncnc(Nc4ccc(OCc5nccs5)c(Cl)c4)c3c2)=N1,HER4,IC50,3.981071705534969,nM,8.4,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_1525,Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1-c1ccc2ccncc2c1,HER4,IC50,301.9951720402019,nM,6.52,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_275,Cc1ccccc1Nc1nc2cc(F)c(N(C)C(=O)/C=C/CN(C)C)cc2n2cncc12,HER4,IC50,43.65158322401656,nM,7.36,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_2296,Cc1n[nH]c2ccc(-c3cc(N[C@@H](CO)c4ccccc4)cnc3-c3cc(Cl)ccc3O)cc12,HER4,IC50,5.248074602497733,nM,8.28,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_1672,Cc1n[nH]c2ccc(-c3cc(N[C@@H](CO)c4ccccc4)cnc3-c3cc(F)ccc3O)cc12,HER4,IC50,6.16595001861481,nM,8.21,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_466,Cc1n[nH]c2ccc(-c3cc(N[C@@H](CO)c4ccccc4)cnc3-c3ccc(F)cc3O)cc12,HER4,IC50,2.398832919019495,nM,8.62,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_2342,Fc1cccc(COc2ccc(Nc3ncnc4cc(C#C[C@H]5CCCN5)sc34)cc2Cl)c1,HER4,IC50,66.06934480075964,nM,7.18,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_536,N#C/C(=C\c1cccc(-c2cccc3[nH]ncc23)c1)C(N)=O,HER4,IC50,43.65158322401656,nM,7.36,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_2343,N#CN[C@H]1CCc2ccc(-c3ncnc4[nH]cc(-c5cccc(CO)c5)c34)cc21,HER4,IC50,3548.133892335753,nM,5.45,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_872,Nc1nccn2c([C@@H]3CCCN(C4CCOCC4)C3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c12,HER4,IC50,58.88436553555884,nM,7.23,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_1070,Nc1nccn2c([C@H]3CN(C4CCOCC4)CCO3)nc(-c3ccc(C(=O)Nc4cc(C(F)(F)F)ccn4)cc3F)c12,HER4,IC50,75.85775750291836,nM,7.12,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_460,Nc1ncnc2c1c(-c1ccc(Oc3ccccc3)cc1)cn2C[C@H]1CCCN1C[C@@H]1CO1,HER4,IC50,380.1893963205613,nM,6.42,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_531,Nc1ncnc2c1c(-c1cccc(OCc3ccccc3)c1)cn2[C@H]1C[C@@H](CN2CCC2)C1,HER4,IC50,1698.243652461746,nM,5.77,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_1650,O=C(/C=C/CN1CC2CCC1C(=O)C2)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2s1,HER4,IC50,37.15352290971728,nM,7.43,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_2416,O=C(Cc1ccccc1)Nc1cccc(-c2nc3sccn3c2-c2ccnc(Nc3cccc(N4CCOCC4)c3)n2)c1,HER4,IC50,17.78279410038923,nM,7.75,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_879,O=C(NCCN1CCCC1)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,HER4,IC50,12.02264434617413,nM,7.92,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_1764,O=C(Nc1cccc(Nc2cc(Nc3cccc(C(F)(F)F)c3)ncn2)c1)C1CC1,HER4,IC50,7585.775750291836,nM,5.12,gn_gnn_zenodo,high,web_scrape
zenodo_HER4_1852,OC[C@H](Nc1cnc(-c2cc(Cl)ccc2O)c(-c2ccc3cnccc3c2)c1)c1ccccc1,HER4,IC50,5.011872336272715,nM,8.3,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_342,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,L858R,IC50,86.99999999999994,nM,7.060480747381382,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_403,C#Cc1nn([C@@H]2CCCN(C(=O)C=C)C2)c2ncnc(N)c12,L858R,IC50,960.000000000001,nM,6.017728766960431,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_439,C/C=C/c1ccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(OCCCN4CCOCC4)cc23)cc1,L858R,IC50,235.49999999999972,nM,6.6280090885350855,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_1,C=CC(=O)N(C)c1cccc(-n2c(NC(=O)c3cccc(C(F)(F)F)c3)nc3cc(C)ccc32)c1,L858R,IC50,660.0000000000008,nM,6.180456064458131,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_432,C=CC(=O)N1CCC(Sc2nc(-c3ccc(F)cc3)c(-c3ccnc(Nc4ccccc4)c3)[nH]2)C1,L858R,IC50,25.000000000000043,nM,7.602059991327962,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_561,C=CC(=O)N1CCCC(n2c(NC(=O)c3cccc(C(F)(F)F)c3)nc3cc(C)ccc32)C1,L858R,IC50,421.0,nM,6.375717904164332,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_49,C=CC(=O)N1CCCCC(n2c(NC(=O)c3cccc(C(F)(F)F)c3)nc3cc(C)ccc32)C1,L858R,IC50,74.90000000000003,nM,7.125518182300533,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_180,C=CC(=O)N1CCCC[C@@H](n2c(NC(=O)c3cccc(C(F)(F)F)c3)nc3cccc(C)c32)C1,L858R,IC50,14.83999999999998,nM,7.828566099056992,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_350,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(C(F)(F)F)cc3)c3c(N)ncnc32)C1,L858R,IC50,60.00000000000003,nM,7.221848749616356,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_222,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(F)c4ccccc34)c3c(N)ncnc32)C1,L858R,IC50,20.000000000000004,nM,7.698970004336019,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_286,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(F)cc3)c3c(N)ncnc32)C1,L858R,IC50,30.00000000000001,nM,7.522878745280337,gn_gnn_zenodo,high,web_scrape
zenodo_L858R_219,C=CC(=O)N1CCC[C@@H](n2nc(-c3ccc(N(C)C)c4ccccc34)c3c(N)ncnc32)C1,L858R,IC50,270.0000000000003,nM,6.568636235841012,gn_gnn_zenodo,high,web_scrape
