,SMILES_NS,pIC50
84277,Brc1ccc(CNc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1,5.5
20701,Brc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2,4.52
70335,Brc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,5.0
60078,Brc1cccc(Nc2c3ncncc3cc3ocnc23)c1,10.12
60531,Brc1cccc(Nc2c3ncncc3cc3scnc23)c1,7.36
9823,Brc1cccc(Nc2cc3cncnc3c3nc[nH]c23)c1,6.57
60079,Brc1cccc(Nc2cc3ncncc3c3[nH]cnc23)c1,7.54
60532,Brc1cccc(Nc2nc[nH]c3cc4nccc4cc23)c1,9.12
21125,Brc1cccc(Nc2ncnc3[nH]c4c(c23)CCCC4)c1,7.34
70527,Brc1cccc(Nc2ncnc3[nH]c4ccccc4c23)c1,6.2
20245,Brc1cccc(Nc2ncnc3[nH]cnc23)c1,7.26
6238,Brc1cccc(Nc2ncnc3c2NCc2ccccc2O3)c1,5.09
3549,Brc1cccc(Nc2ncnc3c2[nH]c2ccccc23)c1,7.14
21109,Brc1cccc(Nc2ncnc3c2ccc2nc[nH]c23)c1,7.54
18013,Brc1cccc(Nc2ncnc3c2sc2ccccc23)c1,8.75
34692,Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,9.41
35115,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,11.22
47419,Brc1cccc(Nc2ncnc3cc4[nH]nnc4cc23)c1,8.39
40395,Brc1cccc(Nc2ncnc3cc4c(cc23)OC(CCN(N2CCCC2)N2CCCC2)CO4)c1,7.21
40393,Brc1cccc(Nc2ncnc3cc4c(cc23)OC(CCN(N2CCCCC2)N2CCCCC2)CO4)c1,7.28
40392,Brc1cccc(Nc2ncnc3cc4c(cc23)OC(CCN(N2CCOCC2)N2CCOCC2)CO4)c1,7.38
77052,Brc1cccc(Nc2ncnc3cc4c(cc23)OC(CN2CCOCC2)CO4)c1,7.2
5967,Brc1cccc(Nc2ncnc3cc4c(cc23)OCCO4)c1,7.75
38360,Brc1cccc(Nc2ncnc3cc4c(cnn4CCCN4CCOCC4)cc23)c1,8.06
5651,Brc1cccc(Nc2ncnc3cc4c(cnn4CCN4CCOCC4)cc23)c1,8.43
653,Brc1cccc(Nc2ncnc3cc4ccccc4cc23)c1,7.77
17880,Brc1cccc(Nc2ncnc3cc4nc[nH]c4cc23)c1,11.1
21103,Brc1cccc(Nc2ncnc3cc4nccnc4cc23)c1,8.77
16145,Brc1cccc(Nc2ncnc3cc4ncoc4cc23)c1,10.12
5611,Brc1cccc(Nc2ncnc3cc4ncsc4cc23)c1,7.36
76719,Brc1cccc(Nc2ncnc3cc4nn[nH]c4cc23)c1,8.39
9822,Brc1cccc(Nc2ncnc3cc4ocnc4cc23)c1,10.12
9821,Brc1cccc(Nc2ncnc3cc4scnc4cc23)c1,7.36
45247,Brc1cccc(Nc2ncnc3ccc(/N=C/c4ccccn4)cc23)c1,5.46
77084,Brc1cccc(Nc2ncnc3ccc(/N=N/NCc4ccccc4)cc23)c1,7.6
68238,Brc1cccc(Nc2ncnc3ccc(/N=N/NCc4ccccn4)cc23)c1,6.62
16148,Brc1cccc(Nc2ncnc3ccc4[nH]cnc4c23)c1,6.57
30351,Brc1cccc(Nc2ncnc3ccccc23)c1,7.57
32809,Brc1cccc(Nc2ncnc3cccnc23)c1,8.96
34624,Brc1cccc(Nc2ncnc3ccncc23)c1,6.71
21841,Brc1cccc(Nc2ncnc3ccsc23)c1,7.96
18806,Brc1cccc(Nc2ncnc3cnc(N4CCCCC4)cc23)c1,8.17
948,Brc1cccc(Nc2ncnc3cnc(NCCCN4CCOCC4)cc23)c1,8.1
778,Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)nc23)c1,8.51
39160,Brc1cccc(Nc2ncnc3cnc(NCCc4cnc[nH]4)cc23)c1,9.11
38363,Brc1cccc(Nc2ncnc3cnc(NCCc4cnc[nH]4)nc23)c1,8.51
32814,Brc1cccc(Nc2ncnc3cnccc23)c1,6.96
58046,Brc1cccc(Nc2ncnc3nc(Nc4ccccc4)sc23)c1,7.78
4992,Brc1cccc(Nc2ncnc3nc[nH]c23)c1,7.26
16146,Brc1cccc(Nc2ncnc3oc4ccccc4c23)c1,6.13
34316,Brc1cccc(Nc2ncnc3sccc23)c1,7.46
19782,C#CC(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.09
37434,C#CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.05
16245,C#CC(C#C)=C(N)/C(C#N)=C/c1ccc(O)c(O)c1,5.62
50049,C#CCCn1cc(Nc2nc(N3C[C@@H](F)[C@H](NC(=O)C=C)C3)nc3c2ncn3C)c(OC)n1,6.3
50053,C#CCCn1cc(Nc2nc(OC[C@H]3CN(C(=O)C=C)C[C@@H]3OC)c3c(Cl)c[nH]c3n2)cn1,5.38
418,C#CCOc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1NC(=O)C=C,7.82
4982,C#Cc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2s1,7.15
73555,C#Cc1cc2ncnc(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)c2s1,7.62
16597,C#Cc1cccc(-n2ccc3cc(OC)cc(O)c3c2=O)c1,5.51
16595,C#Cc1cccc(-n2ccc3cc(OC)cc(OC)c3c2=O)c1,5.45
9168,C#Cc1cccc(Nc2c(C#N)cnc3ccc(NC(=O)/C=C/C)cc23)c1,7.05
23059,C#Cc1cccc(Nc2c(C#N)cnc3ccc(NC(=O)C#CC)cc23)c1,7.05
6463,C#Cc1cccc(Nc2c(C#N)cnc3nc(NCCN4CCOCC4)sc23)c1,5.48
79788,C#Cc1cccc(Nc2c(C#N)cnc3nc(Nc4ccc(CN(C)C)cc4)sc23)c1,7.25
79789,C#Cc1cccc(Nc2c(C#N)cnc3nc(Nc4ccc(CN5CCC[C@H]5CO)cc4)sc23)c1,7.38
57381,C#Cc1cccc(Nc2c(C#N)cnc3nc(Nc4ccc(S(=O)(=O)NCCCN(C)C)cc4)sc23)c1,7.69
72450,C#Cc1cccc(Nc2ncnc3c2/C(=C/c2[nH]c(C)c(CCCN4CCOCC4)c2C)C(=O)N3)c1,6.74
65697,C#Cc1cccc(Nc2ncnc3cc(OC(C)C)c4c(c23)OCCO4)c1,5.26
18633,C#Cc1cccc(Nc2ncnc3cc(OC)c(NC(=O)N4C[C@H]5CCN(C)[C@H]5C4)cc23)c1,8.22
29638,C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,7.75
65725,C#Cc1cccc(Nc2ncnc3cc(OC4CCOC4)c4c(c23)OCCO4)c1,5.07
65731,C#Cc1cccc(Nc2ncnc3cc(OC4CCOCC4)c4c(c23)OCCO4)c1,5.83
38534,C#Cc1cccc(Nc2ncnc3cc(OCC)c(C#CC(C)(C)N4CCN(CCC#N)CC4)cc23)c1,8.74
65597,C#Cc1cccc(Nc2ncnc3cc(OCC)c4c(c23)OCCO4)c1,5.05
62881,C#Cc1cccc(Nc2ncnc3cc(OCCCN4CCOCC4)c(NC(=O)C(=C)F)cc23)c1,5.92
52383,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(NC(=O)c4ccc(F)c([N+](=O)[O-])c4)cc23)c1,6.42
52406,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(NC(=O)c4ccc(I)c([N+](=O)[O-])c4)cc23)c1,5.74
26862,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,9.0
63326,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN(C)C)CCO4)c1,7.34
63311,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCC(C)CC2)CCO4)c1,7.09
63308,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCC2)CCO4)c1,7.22
63314,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCCCC2C)CCO4)c1,7.17
63323,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCN(C)CC2)CCO4)c1,6.11
63305,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)/C=C/CN2CCOCC2)CCO4)c1,6.19
10008,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)C=CCN(C)C)CCO4)c1,7.34
9998,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)C=CCN2CCC(C)CC2)CCO4)c1,7.09
9996,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)C=CCN2CCCC2)CCO4)c1,7.22
10000,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)C=CCN2CCCCC2C)CCO4)c1,7.17
10006,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)C=CCN2CCN(C)CC2)CCO4)c1,6.11
9994,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(C(=O)C=CCN2CCOCC2)CCO4)c1,6.19
65836,C#Cc1cccc(Nc2ncnc3cc4c(cc23)N(CCCN2CCOCC2)C(=O)CO4)c1,5.12
29800,C#Cc1cccc(Nc2ncnc3cc4c(cc23)OCCOCCOCCO4)c1,5.58
3788,C#Cc1cccc(Nc2ncnc3ccc(NC(=O)C=C4CCN(C)CC4)cc23)c1,6.24
3820,C#Cc1cccc(Nc2ncnc3ccc(NC(=O)C=C4CCN(CCOC)CC4)cc23)c1,6.4
3742,C#Cc1cccc(Nc2ncnc3ccc(NC(=O)C=C4CCNCC4)cc23)c1,6.82
70916,C#Cc1cccc(Nc2ncnc3nc(Nc4ccc(CN5CCOCC5)cc4)sc23)c1,7.52
14186,C#Cc1cccc(Nc2ncnc3nc(Nc4ccc(OC)nc4)sc23)c1,4.54
11990,C#Cc1cccc(Nc2ncnn3cc(NC(=O)/C=C/CN(C)C)c(C)c23)c1,7.92
11993,C#Cc1cccc(Nc2ncnn3cc(NC(=O)/C=C/CN(CC)CC)c(C)c23)c1,7.49
11988,C#Cc1cccc(Nc2ncnn3cc(NC(=O)/C=C/CN4CCC(C)CC4)c(C)c23)c1,7.64
11996,C#Cc1cccc(Nc2ncnn3cc(NC(=O)/C=C/CN4CCCCC4)c(C)c23)c1,7.24
11992,C#Cc1cccc(Nc2ncnn3cc(NC(=O)/C=C/CN4CCCCC4C)c(C)c23)c1,7.62
11989,C#Cc1cccc(Nc2ncnn3cc(NC(=O)/C=C/CN4CCN(C)CC4)c(C)c23)c1,7.66
11994,C#Cc1cccc(Nc2ncnn3cc(NC(=O)/C=C/CN4CCOCC4)c(C)c23)c1,7.23
11991,C#Cc1cccc(Nc2ncnn3cc(NC(=O)/C=C/Cn4ccnc4)c(C)c23)c1,6.57
17782,C/C(=C\c1ccc(O)c(O)c1)[N+](=O)[O-],5.03
45416,C/C(C(=O)Nc1ccccc1)=C(/C)C(=O)c1ccccc1,4.42
26513,C/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,5.27
30940,C/C(O)=C(\C#N)C(=O)Nc1ccc(OC(F)(F)F)cc1,5.77
32977,C/C(O)=C(\C#N)C(=O)Nc1ccccc1F,4.13
16765,C/C=C/C(=O)N1CCCC[C@@H](n2c(NC(=O)c3cc(C)nc(C)c3)nc3cc(CN4CC[C@H](OC)C4)cc(C)c32)C1,5.34
16794,C/C=C/C(=O)N1CCCC[C@@H](n2c(NC(=O)c3cc(C)nc(C)c3)nc3ccc(OCCN4CCCC4)c(Cl)c32)C1,5.15
16767,C/C=C/C(=O)N1CCCC[C@@H](n2c(NC(=O)c3ccnc(C)c3)nc3cc(CN4CCCC4)cc(C)c32)C1,5.64
16769,C/C=C/C(=O)N1CCCC[C@@H](n2c(NC(=O)c3ccnc(C)c3)nc3cc(CN4CC[C@H](F)C4)cc(C)c32)C1,5.81
48851,C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,7.12
37022,C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.3
18846,C/C=C/C(=O)Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,9.34
5926,C/C=C/C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.26
11494,C/C=C/C(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(N(C)CCN(C)C)cc4OC)nc32)c1,4.75
11500,C/C=C/C(=O)Nc1cccc(-n2c(=O)cc(C)c3cnc(Nc4ccc(OCCN(C)C)cc4OC)nc32)c1,4.61
10376,C/C=C/C(=O)Nc1cccc(C(F)(F)c2nc(Nc3ccc(N4CCN(C)CC4)cc3)ncc2F)c1,4.6
10380,C/C=C/C(=O)Nc1cccc(C(F)(F)c2nc(Nc3ccc(N4CCN(CC)CC4)cc3)ncc2F)c1,4.93
14982,C/C=C/C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.25
5974,C/C=C\C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,9.26
48950,C1=CC2=C(Cc3nnc(Cc4nc5ccccc5[nH]4)o3)CNC2C=C1,4.06
48908,C=C(C)C(=O)NC[C@H]1Cn2c(c(-c3cnc4ccccc4c3)c3c(N)ncnc32)C1=C,5.85
40066,C=C(C)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1SCCCN(CC)CC,9.11
34994,C=C(C)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7.36
23242,C=C(C)C(=O)Nc1ccc2c(Nc3cccc(Br)c3)ncnc2c1,8.92
23016,C=C(C)C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,8.15
40072,C=C(C)C(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Br)c3)c2c1,9.16
40074,C=C(C)C(=O)Nc1ccc2ncnc(Nc3ccc(F)c(Cl)c3)c2c1,9.13
31127,C=C(C)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,7.8
40068,C=C(C)C(=O)Nc1ccc2ncnc(Nc3cccc(C)c3)c2c1,9.38
60071,C=C(C)CN1C(=O)C(CN(C)C)S/C1=N/N=C1/SCC(=O)N1C,5.7
68325,C=C(CN(C)C)C(=O)Nc1cc2c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c(C#N)cnc2cc1OCC,6.65
76653,C=C(CN(C)C)C(=O)c1ccc(OCc2ccccc2)c(O)c1,6.17
587,C=C(CN(C)C)C(=O)c1ccc(OCc2ccccc2)cc1,6.74
76669,C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)N(C)C)cc2)cc1,6.15
5586,C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)O)c(O)c2)cc1,6.33
5584,C=C(CN(C)C)C(=O)c1ccc(OS(=O)(=O)c2ccc(C(=O)O)cc2)cc1,6.64
30847,C=C(CN(C)C)C(=O)c1ccccc1,5.25
77378,C=C(CN1CCOCC1)C(=O)Nc1cc2c(Nc3ccc(OCc4ccccc4)c(Cl)c3)c(C#N)cnc2cc1OCC,7.12
23192,C=C(CN1CCOCC1)C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,8.19
21456,C=C(CN1CCOCC1)C(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,11.3
6876,C=C(CNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1)C(=O)OC,8.9
75017,C=C(Cl)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,5.12
75021,C=C(Cl)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCC,5.0
62959,C=C(Cl)C(=O)Nc1cc2c(Nc3cccc(C(F)(F)F)c3)ncnc2cc1OCC,4.57
9165,C=C(Cl)C(=O)Nc1ccc2ncc(C#N)c(Nc3cccc(Br)c3)c2c1,8.0
62923,C=C(F)C(=O)Nc1cc2c(Nc3ccc(Br)c(Cl)c3F)ncnc2cc1OCCCN1CCOCC1,6.74
75013,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC,5.55
62970,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OC1CCN(C)CC1,5.07
62935,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCCC1,5.77
74940,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,5.49
62967,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@@H]1CCN(C)C1,5.44
62947,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1OCC1CC1,4.89
62943,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1OCC1CCC1,4.85
62869,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1OCC1CCN(C)CC1,6.3
62974,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1O[C@@H]1CCN(C)C1,4.7
62951,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1O[C@H]1CCN(C)C1,4.82
9849,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1O[C@H]1CCOC1,4.35
62905,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)c(F)c3F)ncnc2cc1OCCCN1CCOCC1,5.38
62901,C=C(F)C(=O)Nc1cc2c(Nc3ccc(F)cc3F)ncnc2cc1OCCCN1CCOCC1,5.19
62963,C=C(F)C(=O)Nc1cc2c(Nc3ccc(OCC4CC4)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,6.1
62893,C=C(F)C(=O)Nc1cc2c(Nc3ccc(OCc4cccc(F)c4)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,5.23
75001,C=C(F)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OC,5.8
75005,C=C(F)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCC,4.44
62889,C=C(F)C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cc1OCCCN1CCOCC1,4.54
75009,C=C(F)C(=O)Nc1cc2c(Nc3cccc(C(F)(F)F)c3)ncnc2cc1OC,5.42
62955,C=C(F)C(=O)Nc1cc2c(Nc3cccc(C(F)(F)F)c3)ncnc2cc1OCC,4.66
62885,C=C(F)C(=O)Nc1cc2c(Nc3cccc(Cl)c3F)ncnc2cc1OCCCN1CCOCC1,5.35
37046,C=C/C=C/C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7.57
33979,C=C1C(=O)O[C@@H](CCCCCCCC)[C@@H]1C(=O)O,4.53
1712,C=C1[C@H](C)CCC[C@]1(C)CC/C(C)=C/CC1=C(O)C(=O)C=C(NCC(=O)O)C1=O,3.31
48913,C=C1c2c(-c3cnc4ccccc4c3)c3c(N)ncnc3n2CC1NC(=O)/C=C/CN(C)C,8.22
19439,C=C=CC(=O)Nc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,6.92
40288,C=CC(=O)C1CCC[C@H]1C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3F)ncnc2cc1OCCOC,8.15
37759,C=CC(=O)C1C[C@@H](C2CC2)[C@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(C#N)c23)C1,5.63
37766,C=CC(=O)C1C[C@@H](CC(F)(F)F)[C@H](COc2nc(Nc3cnn(C)c3)nc3[nH]cc(C#N)c23)C1,5.71
11628,C=CC(=O)N(C)C1CC(Nc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3n2)C1,6.14
11627,C=CC(=O)N(C)C1CC(Oc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C(C)C)c3n2)C1,6.16
85313,C=CC(=O)N(C)C1CC(Oc2nc(Nc3cnn(C)c3)nc3[nH]cc(C#N)c23)C1,5.77
85453,C=CC(=O)N(C)[C@H]1C[C@H](Nc2nc(Nc3cn(C)nc3C)nc3[nH]cc(Cl)c23)C1,7.57
37797,C=CC(=O)N(C)[C@H]1C[C@H](Oc2nc(Nc3cn(C)nc3C)nc3[nH]cc(-c4ccccc4)c23)C1,5.21
44239,C=CC(=O)N(C)[C@H]1C[C@H](Oc2nc(Nc3cn(C)nc3C)nc3[nH]cc(Cl)c23)C1,8.0
72067,C=CC(=O)N(C)[C@H]1C[C@H](Oc2nc(Nc3cnn(C)c3)nc3[nH]cc(-c4ccccn4)c23)C1,5.78
34936,C=CC(=O)N(C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.77
68066,C=CC(=O)N(C)c1nc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,7.06
9561,C=CC(=O)N(CCCC1COCCN1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.48
35029,C=CC(=O)N(CCCN1CCOCC1)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,6.81
23266,C=CC(=O)N(CCCN1CCOCC1)c1ccc2c(Nc3cccc(Br)c3)ncnc2c1,7.05
36035,C=CC(=O)N(CCCN1CCOCC1)c1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.48
36011,C=CC(=O)N(CCN(C)C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.38
50803,C=CC(=O)N1C=CC[C@@H](n2nc(C(=O)Nc3ccc(OC(=O)N(C)OC)cc3C)c3c(N)ncnc32)C1,5.93
11636,C=CC(=O)N1CC(F)C(Nc2nc(Nc3ccc(N4CCN(C)CC4)cc3)c3ncn(C)c3n2)C1,6.92
66399,C=CC(=O)N1CC(F)C[C@@H](n2nc(C(=O)Nc3ccc(CC(=O)N(C)C)cc3Cl)c3c(N)ncnc32)C1,5.68
85498,C=CC(=O)N1CC(Oc2nc(Nc3cnn(C)c3)nc3[nH]cc(Cl)c23)C1,7.43
50738,C=CC(=O)N1CC(c2cc3cc(C4CC4)ccc3c(=O)n2-c2cccc(-c3ccnc(N)c3)c2Cl)C1,5.49
11634,C=CC(=O)N1CC2CN(c3nc(Nc4ccc(N5CCN(C)CC5)cc4)c4ncn(C(C)(C)C)c4n3)CC2C1,5.34
11617,C=CC(=O)N1CC2CN(c3nc(Nc4ccc(N5CCN(C)CC5)cc4)c4ncn(C(C)C)c4n3)CC2(OC)C1,6.9
11630,C=CC(=O)N1CC2CN(c3nc(Nc4ccc(N5CCN(C)CC5)cc4)c4ncn(C(C)C)c4n3)CC2C1,6.74
11626,C=CC(=O)N1CC2CN(c3nc(Nc4ccc(N5CCN(C)CC5)cc4)c4ncn(C)c4n3)CC2C1,6.49
11616,C=CC(=O)N1CC2CN(c3nc(Nc4cnn(C)c4)c4ncn(C(C)C)c4n3)CC2(F)C1,7.04
64090,C=CC(=O)N1CC2CN(c3nc(Nc4cnn(C)c4)c4ncn(C(C)C)c4n3)CC2C1,6.09
11625,C=CC(=O)N1CC2CN(c3nc(Nc4cnn(C)c4)c4ncn(C)c4n3)CC2C1,5.57
