ID,SMILES_NS,y1,y2,y3,y4,y5
22235339,Brc1ccc(CNc2ccc3ncnc(Nc4cccc(Br)c4)c3c2)cc1,5.5,,,,
4715614,Brc1ccc2c(c1)CNc1c(NCc3ccccc3)ncnc1O2,4.52,,,,
14432700,Brc1ccc2ncnc(Nc3ccc(OCc4ccccc4)cc3)c2c1,5.0,,,,
14039625,Brc1cccc(Nc2c3ncncc3cc3ocnc23)c1,10.12,,,,
14958184,Brc1cccc(Nc2c3ncncc3cc3scnc23)c1,7.36,,,,
26374346,Brc1cccc(Nc2cc3cncnc3c3nc[nH]c23)c1,6.57,,,,
14040076,Brc1cccc(Nc2cc3ncncc3c3[nH]cnc23)c1,7.54,,,,
14958248,Brc1cccc(Nc2nc[nH]c3cc4nccc4cc23)c1,9.12,,,,
7542644,Brc1cccc(Nc2ncnc3[nH]c4c(c23)CCCC4)c1,7.34,,,,
14959157,Brc1cccc(Nc2ncnc3[nH]c4ccccc4c23)c1,6.2,,,,
14952791,Brc1cccc(Nc2ncnc3[nH]cnc23)c1,7.26,,,,
10279045,Brc1cccc(Nc2ncnc3c2NCc2ccccc2O3)c1,5.09,,,,
14959159,Brc1cccc(Nc2ncnc3c2[nH]c2ccccc23)c1,7.14,,,,
7488846,Brc1cccc(Nc2ncnc3c2ccc2nc[nH]c23)c1,7.54,,,,
8496379,Brc1cccc(Nc2ncnc3c2sc2ccccc23)c1,8.75,,,,
7518681,Brc1cccc(Nc2ncnc3cc4[nH]ccc4cc23)c1,9.41,,,,
10091845,Brc1cccc(Nc2ncnc3cc4[nH]cnc4cc23)c1,11.22,,,,
24738504,Brc1cccc(Nc2ncnc3cc4[nH]nnc4cc23)c1,8.39,,,,
25841877,Brc1cccc(Nc2ncnc3cc4c(cc23)OC(CCN(N2CCCC2)N2CCCC2)CO4)c1,7.21,,,,
25841875,Brc1cccc(Nc2ncnc3cc4c(cc23)OC(CCN(N2CCCCC2)N2CCCCC2)CO4)c1,7.28,,,,
